Samples - X-Axis	Acceleration (g) - X-Axis	Samples - Y-Axis	Acceleration (g) - Y-Axis	Samples - Z-Axis	Acceleration (g) - Z-Axis
233	-0,0859375	233	0,0625	233	0,996094
234	-0,0742187	234	0,0546875	234	1
235	-0,0742187	235	0,0507812	235	0,992187
236	-0,078125	236	0,0664062	236	0,992187
237	-0,0703125	237	0,0507812	237	1,00391
238	-0,0742187	238	0,0546875	238	0,996094
239	-0,0742187	239	0,0625	239	0,992187
240	-0,0742187	240	0,0625	240	0,992187
241	-0,0742187	241	0,0585937	241	0,996094
242	-0,078125	242	0,0507812	242	0,996094
243	-0,0820312	243	0,0585937	243	1
244	-0,0898437	244	0,0625	244	1,00781
245	-0,0742187	245	0,0625	245	1,00391
246	-0,078125	246	0,0664062	246	1,00391
247	-0,0898437	247	0,0664062	247	1,00781
248	-0,0820312	248	0,0546875	248	0,996094
249	-0,0859375	249	0,0703125	249	0,996094
250	-0,0742187	250	0,0664062	250	0,988281
251	-0,0742187	251	0,0585937	251	0,992187
252	-0,0742187	252	0,0585937	252	0,992187
253	-0,078125	253	0,0625	253	0,996094
254	-0,078125	254	0,0625	254	0,988281
255	-0,0820312	255	0,0546875	255	0,984375
256	-0,0820312	256	0,0664062	256	0,984375
257	-0,0820312	257	0,0664062	257	0,984375
258	-0,0742187	258	0,0625	258	0,984375
259	-0,078125	259	0,0585937	259	0,980469
260	-0,0898437	260	0,0585937	260	0,980469
261	-0,09375	261	0,0507812	261	0,980469
262	-0,0976562	262	0,0625	262	0,980469
263	-0,0976562	263	0,0625	263	0,980469
264	-0,0898437	264	0,0546875	264	0,984375
265	-0,078125	265	0,0507812	265	0,988281
266	-0,078125	266	0,0507812	266	0,988281
267	-0,0859375	267	0,0546875	267	0,992187
268	-0,0703125	268	0,0507812	268	0,988281
269	-0,0703125	269	0,0546875	269	0,988281
270	-0,078125	270	0,0703125	270	0,992187
271	-0,0625	271	0,0664062	271	0,992187
272	-0,0585937	272	0,0546875	272	0,996094
273	-0,0742187	273	0,0664062	273	1
274	-0,078125	274	0,0664062	274	0,992187
275	-0,078125	275	0,046875	275	1,00391
276	-0,078125	276	0,046875	276	1,00391
277	-0,0859375	277	0,0585937	277	1,00391
278	-0,09375	278	0,0664062	278	1,00391
279	-0,078125	279	0,0585937	279	1,00781
280	-0,0820312	280	0,0585937	280	1,00391
281	-0,0820312	281	0,0664062	281	1,00391
282	-0,0742187	282	0,0585937	282	1
283	-0,0742187	283	0,0585937	283	1
284	-0,0820312	284	0,0664062	284	0,996094
285	-0,078125	285	0,0664062	285	0,996094
286	-0,0664062	286	0,0546875	286	0,996094
287	-0,0820312	287	0,0703125	287	1
288	-0,0703125	288	0,0585937	288	0,992187
289	-0,078125	289	0,0625	289	0,992187
290	-0,0898437	290	0,0664062	290	0,988281
291	-0,078125	291	0,0585937	291	0,984375
292	-0,0859375	292	0,0585937	292	0,976562
293	-0,0898437	293	0,0546875	293	0,980469
294	-0,0859375	294	0,0546875	294	0,972656
295	-0,0898437	295	0,0585937	295	0,980469
296	-0,0898437	296	0,0585937	296	0,980469
297	-0,09375	297	0,0625	297	0,980469
298	-0,078125	298	0,0507812	298	0,984375
299	-0,0820312	299	0,0546875	299	0,984375
300	-0,0859375	300	0,0625	300	0,984375
301	-0,0703125	301	0,0546875	301	0,988281
302	-0,0664062	302	0,0546875	302	0,988281
303	-0,0820312	303	0,0625	303	0,984375
304	-0,0703125	304	0,0625	304	0,988281
305	-0,0625	305	0,0546875	305	1,00391
306	-0,078125	306	0,0546875	306	1
307	-0,0820312	307	0,0625	307	1
308	-0,078125	308	0,0546875	308	1,00781
309	-0,0820312	309	0,0546875	309	1
310	-0,0742187	310	0,0546875	310	1
311	-0,078125	311	0,0546875	311	1,00391
312	-0,0898437	312	0,0585937	312	1
313	-0,0820312	313	0,0625	313	1,00391
314	-0,0703125	314	0,0585937	314	1,01172
315	-0,0859375	315	0,0625	315	1
316	-0,0820312	316	0,0664062	316	0,996094
317	-0,0742187	317	0,0507812	317	1
318	-0,0742187	318	0,0507812	318	1
319	-0,0898437	319	0,0625	319	1
320	-0,0820312	320	0,0625	320	1,00781
321	-0,078125	321	0,0625	321	1
322	-0,078125	322	0,0625	322	1
323	-0,0859375	323	0,0664062	323	1,00391
324	-0,0859375	324	0,0664062	324	1
325	-0,0742187	325	0,0546875	325	0,992187
326	-0,0820312	326	0,0546875	326	0,980469
327	-0,0859375	327	0,0625	327	0,980469
328	-0,0703125	328	0,0585937	328	0,976562
329	-0,0703125	329	0,0546875	329	0,980469
330	-0,0859375	330	0,0625	330	0,972656
331	-0,0859375	331	0,0625	331	0,972656
332	-0,0859375	332	0,0507812	332	0,972656
333	-0,0859375	333	0,046875	333	0,980469
334	-0,09375	334	0,0546875	334	0,984375
335	-0,0820312	335	0,0546875	335	0,984375
336	-0,078125	336	0,0507812	336	0,992187
337	-0,0820312	337	0,0625	337	0,988281
338	-0,0742187	338	0,0546875	338	0,980469
339	-0,0742187	339	0,0546875	339	0,980469
340	-0,0742187	340	0,0507812	340	0,988281
341	-0,0859375	341	0,0703125	341	0,984375
342	-0,0664062	342	0,0585937	342	0,992187
343	-0,0585937	343	0,0546875	343	0,996094
344	-0,078125	344	0,0625	344	0,996094
345	-0,0703125	345	0,0585937	345	1,00781
346	-0,0664062	346	0,0507812	346	1,01172
347	-0,0742187	347	0,0625	347	1,00391
348	-0,0703125	348	0,0625	348	1,01172
349	-0,0742187	349	0,0625	349	1,00781
350	-0,0859375	350	0,0664062	350	1,00391
351	-0,078125	351	0,0625	351	1
352	-0,0859375	352	0,0585937	352	0,992187
353	-0,0976562	353	0,0703125	353	0,996094
354	-0,0859375	354	0,0664062	354	1,00391
355	-0,078125	355	0,0546875	355	1
356	-0,0859375	356	0,0625	356	1
357	-0,0742187	357	0,0664062	357	0,992187
358	-0,0664062	358	0,0585937	358	0,992187
359	-0,0703125	359	0,0664062	359	0,988281
360	-0,0664062	360	0,0703125	360	0,988281
361	-0,0664062	361	0,0507812	361	0,980469
362	-0,0859375	362	0,0625	362	0,980469
363	-0,0820312	363	0,0625	363	0,980469
364	-0,0742187	364	0,0507812	364	0,980469
365	-0,0976562	365	0,0625	365	0,976562
366	-0,0976562	366	0,0664062	366	0,980469
367	-0,0859375	367	0,046875	367	0,980469
368	-0,09375	368	0,0429687	368	0,980469
369	-0,09375	369	0,0546875	369	0,984375
370	-0,078125	370	0,0507812	370	0,988281
371	-0,078125	371	0,0625	371	0,988281
372	-0,0742187	372	0,0664062	372	0,988281
373	-0,0585937	373	0,0507812	373	0,996094
374	-0,0703125	374	0,0625	374	1
375	-0,0703125	375	0,0625	375	1
376	-0,0585937	376	0,0507812	376	1,00391
377	-0,0585937	377	0,0625	377	1
378	-0,0742187	378	0,0625	378	1
379	-0,078125	379	0,0664062	379	1
380	-0,0664062	380	0,0546875	380	1
381	-0,0820312	381	0,0546875	381	1,00391
382	-0,0859375	382	0,0625	382	1,00391
383	-0,078125	383	0,0546875	383	1,00781
384	-0,0820312	384	0,0625	384	1,00781
385	-0,0820312	385	0,0625	385	1,00781
386	-0,0742187	386	0,0585937	386	1,00391
387	-0,0859375	387	0,0585937	387	1
388	-0,0820312	388	0,0703125	388	1
389	-0,0664062	389	0,0507812	389	1
390	-0,0820312	390	0,0625	390	0,992187
391	-0,078125	391	0,078125	391	1
392	-0,0664062	392	0,0625	392	0,992187
393	-0,0742187	393	0,0625	393	0,992187
394	-0,0820312	394	0,0625	394	0,992187
395	-0,0820312	395	0,0585937	395	0,980469
396	-0,0859375	396	0,0546875	396	0,976562
397	-0,0859375	397	0,0625	397	0,980469
398	-0,0859375	398	0,0546875	398	0,96875
399	-0,0898437	399	0,046875	399	0,972656
400	-0,0976562	400	0,0585937	400	0,976562
401	-0,0859375	401	0,0507812	401	0,980469
402	-0,0820312	402	0,046875	402	0,984375
403	-0,0898437	403	0,0664062	403	0,992187
404	-0,0742187	404	0,0546875	404	0,984375
405	-0,0664062	405	0,046875	405	0,992187
406	-0,0742187	406	0,0625	406	0,988281
407	-0,0703125	407	0,0664062	407	0,988281
408	-0,0625	408	0,0546875	408	0,992187
409	-0,0742187	409	0,0664062	409	0,996094
410	-0,0664062	410	0,0585937	410	0,996094
411	-0,0703125	411	0,046875	411	1
412	-0,0859375	412	0,0585937	412	1,00391
413	-0,078125	413	0,0585937	413	1
414	-0,0742187	414	0,0585937	414	1,00391
415	-0,078125	415	0,0664062	415	1,00391
416	-0,0742187	416	0,0664062	416	1,00781
417	-0,0742187	417	0,0585937	417	1
418	-0,0820312	418	0,0664062	418	0,996094
419	-0,0742187	419	0,0585937	419	1
420	-0,0820312	420	0,0625	420	0,996094
421	-0,0898437	421	0,0703125	421	1
422	-0,0664062	422	0,0625	422	1,00391
423	-0,078125	423	0,0625	423	1
424	-0,0742187	424	0,0742187	424	0,996094
425	-0,078125	425	0,0585937	425	0,996094
426	-0,0820312	426	0,0625	426	0,984375
427	-0,0742187	427	0,0664062	427	0,984375
428	-0,0859375	428	0,0585937	428	0,980469
429	-0,0859375	429	0,0585937	429	0,976562
430	-0,0859375	430	0,0546875	430	0,984375
431	-0,09375	431	0,0507812	431	0,976562
432	-0,09375	432	0,0507812	432	0,976562
433	-0,0859375	433	0,0585937	433	0,984375
434	-0,0820312	434	0,0546875	434	0,984375
435	-0,0820312	435	0,0546875	435	0,984375
436	-0,0859375	436	0,0585937	436	0,992187
437	-0,0859375	437	0,0585937	437	0,992187
438	-0,078125	438	0,0546875	438	0,992187
439	-0,0742187	439	0,0625	439	0,992187
440	-0,0703125	440	0,0585937	440	0,996094
441	-0,0742187	441	0,0625	441	0,992187
442	-0,0664062	442	0,0585937	442	0,996094
443	-0,0703125	443	0,0546875	443	1
444	-0,078125	444	0,0546875	444	0,996094
445	-0,0742187	445	0,0625	445	1
446	-0,0742187	446	0,0625	446	1
447	-0,0742187	447	0,0585937	447	1,00391
448	-0,0820312	448	0,0585937	448	1,00391
449	-0,0859375	449	0,0585937	449	1,00781
450	-0,078125	450	0,0625	450	1,00391
451	-0,078125	451	0,0625	451	1,00391
452	-0,0820312	452	0,0625	452	1,00391
453	-0,078125	453	0,0625	453	1,00391
454	-0,0820312	454	0,0625	454	1
455	-0,0859375	455	0,0664062	455	1,00391
456	-0,0742187	456	0,0585937	456	0,996094
457	-0,0742187	457	0,0664062	457	1
458	-0,0703125	458	0,0664062	458	1,00391
459	-0,0703125	459	0,0664062	459	1,00391
460	-0,0703125	460	0,0664062	460	1,00781
461	-0,0742187	461	0,0664062	461	0,992187
462	-0,0742187	462	0,0625	462	0,988281
463	-0,078125	463	0,0507812	463	0,984375
464	-0,0898437	464	0,0625	464	0,980469
465	-0,078125	465	0,0625	465	0,980469
466	-0,0820312	466	0,0546875	466	0,972656
467	-0,0898437	467	0,0546875	467	0,972656
468	-0,0898437	468	0,0546875	468	0,980469
469	-0,09375	469	0,0546875	469	0,984375
470	-0,09375	470	0,0546875	470	0,984375
471	-0,0742187	471	0,0507812	471	0,988281
472	-0,0742187	472	0,0546875	472	0,992187
473	-0,0703125	473	0,0585937	473	0,988281
474	-0,0742187	474	0,0546875	474	0,992187
475	-0,0742187	475	0,0585937	475	0,988281
476	-0,0742187	476	0,0664062	476	0,992187
477	-0,0742187	477	0,0625	477	0,996094
478	-0,0664062	478	0,0546875	478	0,992187
479	-0,0664062	479	0,0546875	479	0,992187
480	-0,0742187	480	0,0546875	480	0,996094
481	-0,078125	481	0,0507812	481	1
482	-0,078125	482	0,0585937	482	0,996094
483	-0,078125	483	0,0625	483	1
484	-0,0820312	484	0,0664062	484	1,00781
485	-0,0742187	485	0,0625	485	1
486	-0,078125	486	0,0664062	486	1
487	-0,0742187	487	0,0625	487	0,996094
488	-0,0742187	488	0,0625	488	0,996094
489	-0,0820312	489	0,0585937	489	0,996094
490	-0,0898437	490	0,0664062	490	0,996094
491	-0,078125	491	0,0664062	491	1
492	-0,0820312	492	0,0585937	492	0,996094
493	-0,0742187	493	0,0625	493	0,996094
494	-0,078125	494	0,0585937	494	0,996094
495	-0,0820312	495	0,0625	495	0,992187
496	-0,0742187	496	0,0664062	496	0,988281
497	-0,0703125	497	0,0585937	497	0,988281
498	-0,0820312	498	0,0625	498	0,984375
499	-0,0820312	499	0,0585937	499	0,980469
500	-0,0820312	500	0,0507812	500	0,980469
501	-0,0859375	501	0,0585937	501	0,976562
502	-0,0859375	502	0,0585937	502	0,980469
503	-0,0976562	503	0,0585937	503	0,980469
504	-0,0898437	504	0,0546875	504	0,972656
505	-0,0859375	505	0,0507812	505	0,980469
506	-0,0859375	506	0,0507812	506	0,980469
