Samples - X-Axis	Acceleration (g) - X-Axis	Samples - Y-Axis	Acceleration (g) - Y-Axis	Samples - Z-Axis	Acceleration (g) - Z-Axis
380	-0,0625	380	0,0820312	380	1,04297
381	-0,101562	381	0,0625	381	1,04297
382	-0,136719	382	0,0429687	382	1,02344
383	-0,136719	383	0,0195312	383	1,00781
384	-0,144531	384	0	384	0,996094
385	-0,125	385	0,015625	385	0,972656
386	-0,09375	386	0,0429687	386	0,957031
387	-0,046875	387	0,0585937	387	0,964844
388	-0,015625	388	0,0859375	388	0,984375
389	-0,0078125	389	0,09375	389	0,988281
390	-0,0117187	390	0,101562	390	0,996094
391	-0,0390625	391	0,0898437	391	1,01563
392	-0,078125	392	0,0820312	392	1,02344
393	-0,121094	393	0,0703125	393	1,01953
394	-0,15625	394	0,0429687	394	1,01563
395	-0,171875	395	0,0195312	395	1,00781
396	-0,164062	396	-0,00390625	396	0,996094
397	-0,136719	397	0,0117187	397	0,980469
398	-0,101562	398	0,0390625	398	0,96875
399	-0,0429687	399	0,0625	399	0,960937
400	0,015625	400	0,0820312	400	0,960937
401	0,015625	401	0,0820312	401	0,960937
402	0,03125	402	0,0898437	402	0,964844
403	0,03125	403	0,0898437	403	0,964844
404	0,015625	404	0,105469	404	0,980469
405	-0,0117187	405	0,09375	405	0,996094
406	-0,046875	406	0,0898437	406	1,01953
407	-0,09375	407	0,0742187	407	1,02344
408	-0,09375	408	0,0742187	408	1,02344
409	-0,148437	409	0,0585937	409	1,02344
410	-0,179687	410	0,0234375	410	1,01953
411	-0,171875	411	0,00390625	411	1
412	-0,175781	412	0,0078125	412	0,976562
413	-0,136719	413	0,0273437	413	0,945312
414	-0,0820312	414	0,0546875	414	0,933594
415	-0,0234375	415	0,0703125	415	0,925781
416	0,00390625	416	0,09375	416	0,945312
417	0,015625	417	0,101562	417	0,96875
418	0,0117187	418	0,101562	418	0,992187
419	0,0117187	419	0,101562	419	0,992187
420	-0,0195312	420	0,09375	420	1,01953
421	-0,0585937	421	0,078125	421	1,03516
422	-0,113281	422	0,0625	422	1,01953
423	-0,136719	423	0,0234375	423	1,00781
424	-0,167969	424	0,0078125	424	1,00391
425	-0,171875	425	0,015625	425	0,984375
426	-0,132812	426	0,0234375	426	0,960937
427	-0,0976562	427	0,046875	427	0,953125
428	-0,0507812	428	0,0664062	428	0,960937
429	-0,0195312	429	0,0859375	429	0,964844
430	-0,00390625	430	0,0859375	430	0,980469
431	-0,0195312	431	0,0976562	431	0,992187
432	-0,0546875	432	0,0976562	432	1,01563
433	-0,0546875	433	0,0976562	433	1,01563
434	-0,0664062	434	0,0820312	434	1,02344
435	-0,105469	435	0,0664062	435	1,03125
436	-0,128906	436	0,0429687	436	1,02734
437	-0,132812	437	0,0195312	437	1,01563
438	-0,140625	438	0,0117187	438	1,00781
439	-0,113281	439	0,0234375	439	0,992187
440	-0,0820312	440	0,0429687	440	0,96875
441	-0,0429687	441	0,0585937	441	0,96875
442	-0,0195312	442	0,0820312	442	0,96875
443	-0,015625	443	0,09375	443	0,976562
444	-0,03125	444	0,101562	444	0,988281
445	-0,0546875	445	0,09375	445	1,01172
446	-0,078125	446	0,0859375	446	1,02344
447	-0,109375	447	0,0742187	447	1,02734
448	-0,136719	448	0,0390625	448	1,03125
449	-0,15625	449	0,0117187	449	1,01953
450	-0,164062	450	0,00390625	450	1,00781
451	-0,132812	451	0,0195312	451	0,980469
452	-0,0976562	452	0,0390625	452	0,957031
453	-0,046875	453	0,0625	453	0,945312
454	-0,046875	454	0,0625	454	0,945312
455	0,00390625	455	0,0820312	455	0,949219
456	0,015625	456	0,09375	456	0,960937
457	0,015625	457	0,101562	457	0,980469
458	-0,015625	458	0,09375	458	0,996094
459	-0,0507812	459	0,0898437	459	1,01953
460	-0,09375	460	0,0742187	460	1,03516
461	-0,144531	461	0,0507812	461	1,03516
462	-0,164062	462	0,0195312	462	1,02344
463	-0,171875	463	0	463	1,00391
